0,['stop temporarily and wait for']
0,"['increase speed', ' timing']"
0,"['bring to successful conclusion', ' reach a goal']"
0,['obtain or receive']
0,['entertain by playing a role']
0,"['initiate something', ' start a function']"
0,['adjust to a different situation or condition']
0,"['adjoin', ' increase', ' make further comment']"
0,['dispense something needed']
0,['hold in high regard']
0,"['confess', ' acknowledge']"
0,"[""legally care for another's child""]"
0,['offer information']
0,['be similar or consistent']
0,['warn']
0,['land']
0,['set aside']
0,['changed']
0,"['entertain', ' make laugh']"
0,['break down to components']
0,['declare arrival']
0,"['irritate', ' upset']"
0,"['solve', ' fulfill']"
0,"['express remorse', ' regret']"
0,"['be published', ' perform']"
0,"['clap for', ' express approval']"
0,['furnish']
0,"['judge', ' estimate']"
0,['value highly']
0,"['allow', ' authorize']"
0,['achieve settlement']
0,['discuss']
0,"['get', ' stand', ' or go up']"
0,['prepare musical composition differently']
0,"[""get someone's attention""]"
0,['achieve recognition']
0,['make sure']
0,['invite']
0,['put together']
0,"['assign fee', '']"
0,['help']
0,['make certain']
0,"['attribute', ' ascribe']"
0,['set to work']
0,"['achieve', ' accomplish']"
0,"['try', ' make effort']"
0,['escort']
0,['draw attention']
0,['inspect financial records']
0,"['refrain or stay away from', ' prevent']"
0,['become or make aware']
0,['put in reverse direction']
0,['cook in oven']
0,['make equal numerically']
0,['officially forbid']
0,['moving by hitting hard']
0,['reveal']
0,['a hit with a solid object']
0,"['wash with water and', ' usually', ' soap']"
0,"['fight', ' struggle']"
0,['happen']
0,['give birth']
0,['mix']
0,['enhance']
0,['seek charity']
0,"['act reasonably', ' properly']"
0,"['regard', ' look at']"
0,"['plague', ' hem in']"
0,"['ask for', ' command']"
0,"['obligate', ' restrict']"
0,['take a chance']
0,['whiten']
0,['grieve']
0,"['grant', ' bestow']"
0,"['screen', ' covering']"
0,['ignore']
0,['soak up']
0,['use up money']
0,"['become colored', ' pinken']"
0,['to have advantage']
0,['be angry']
0,['eat very fast']
0,"['cause weariness', ' disinterest']"
0,"['adopt from another source', ' appropriate']"
0,['evict']
0,"['submit', ' concede']"
0,['punch competitively']
0,"['check', ' stop']"
0,"[""cushion something's effect""]"
0,['tell information']
0,['inform of facts']
0,['file charges in court']
0,['make public']
0,"['break blood vessel', ' discolor']"
0,"['clean', ' prepare by whisking']"
0,['plan money or action']
0,"['increase', ' accelerate']"
0,['increment']
